BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR,ExpectedL,ExpectedR,stallCntL,stallCntR,stuckL,stuckR,freeCntL,freeCntR,maxStallL,maxStallR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.11,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,0,-1.47,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0
